video_id,title,source_article,status,instagram_cta_url,youtube_cta_url,tiktok_cta_url,instagram_url,youtube_url,tiktok_url,notes
v01,コーヒーの味がわからない人へ,content/posts/2026-03-03-tongue-calibration.md,brief-ready,https://coffee-blog-eta.vercel.app/blog/tongue-calibration?utm_source=instagram&utm_medium=short_video&utm_campaign=v01,https://coffee-blog-eta.vercel.app/blog/tongue-calibration?utm_source=youtube&utm_medium=short_video&utm_campaign=v01,https://coffee-blog-eta.vercel.app/blog/tongue-calibration?utm_source=tiktok&utm_medium=short_video&utm_campaign=v01,,,,試作動画
v02,飲み方を変えたら味が急にわかった,content/posts/2026-03-03-tongue-calibration.md,brief-ready,https://coffee-blog-eta.vercel.app/blog/tongue-calibration?utm_source=instagram&utm_medium=short_video&utm_campaign=v02,https://coffee-blog-eta.vercel.app/blog/tongue-calibration?utm_source=youtube&utm_medium=short_video&utm_campaign=v02,https://coffee-blog-eta.vercel.app/blog/tongue-calibration?utm_source=tiktok&utm_medium=short_video&utm_campaign=v02,,,,
v03,コーヒー豆の名前はこう読む,content/posts/coffee-name-rules.md,brief-ready,https://coffee-blog-eta.vercel.app/blog/coffee-name-rules?utm_source=instagram&utm_medium=short_video&utm_campaign=v03,https://coffee-blog-eta.vercel.app/blog/coffee-name-rules?utm_source=youtube&utm_medium=short_video&utm_campaign=v03,https://coffee-blog-eta.vercel.app/blog/coffee-name-rules?utm_source=tiktok&utm_medium=short_video&utm_campaign=v03,,,,
v04,豆の名前が読めると買いやすい,content/posts/coffee-name-rules.md,brief-ready,https://coffee-blog-eta.vercel.app/blog/coffee-name-rules?utm_source=instagram&utm_medium=short_video&utm_campaign=v04,https://coffee-blog-eta.vercel.app/blog/coffee-name-rules?utm_source=youtube&utm_medium=short_video&utm_campaign=v04,https://coffee-blog-eta.vercel.app/blog/coffee-name-rules?utm_source=tiktok&utm_medium=short_video&utm_campaign=v04,,,,
v05,良い酸味と嫌な酸っぱさの違い,content/posts/acidity-structure.md,brief-ready,https://coffee-blog-eta.vercel.app/blog/acidity-structure?utm_source=instagram&utm_medium=short_video&utm_campaign=v05,https://coffee-blog-eta.vercel.app/blog/acidity-structure?utm_source=youtube&utm_medium=short_video&utm_campaign=v05,https://coffee-blog-eta.vercel.app/blog/acidity-structure?utm_source=tiktok&utm_medium=short_video&utm_campaign=v05,,,,
v06,酸味にも種類がある,content/posts/acidity-structure.md,brief-ready,https://coffee-blog-eta.vercel.app/blog/acidity-structure?utm_source=instagram&utm_medium=short_video&utm_campaign=v06,https://coffee-blog-eta.vercel.app/blog/acidity-structure?utm_source=youtube&utm_medium=short_video&utm_campaign=v06,https://coffee-blog-eta.vercel.app/blog/acidity-structure?utm_source=tiktok&utm_medium=short_video&utm_campaign=v06,,,,
v07,ワインみたいなコーヒー,content/posts/yemen-mocha-mattari.md,brief-ready,https://coffee-blog-eta.vercel.app/blog/yemen-mocha-mattari?utm_source=instagram&utm_medium=short_video&utm_campaign=v07,https://coffee-blog-eta.vercel.app/blog/yemen-mocha-mattari?utm_source=youtube&utm_medium=short_video&utm_campaign=v07,https://coffee-blog-eta.vercel.app/blog/yemen-mocha-mattari?utm_source=tiktok&utm_medium=short_video&utm_campaign=v07,,,,
v08,欠点か個性か迷う豆,content/posts/yemen-mocha-mattari.md,brief-ready,https://coffee-blog-eta.vercel.app/blog/yemen-mocha-mattari?utm_source=instagram&utm_medium=short_video&utm_campaign=v08,https://coffee-blog-eta.vercel.app/blog/yemen-mocha-mattari?utm_source=youtube&utm_medium=short_video&utm_campaign=v08,https://coffee-blog-eta.vercel.app/blog/yemen-mocha-mattari?utm_source=tiktok&utm_medium=short_video&utm_campaign=v08,,,,
v09,AIにコーヒーの味はわかるのか,content/posts/ai-use-merit.md,brief-ready,https://coffee-blog-eta.vercel.app/blog/ai-use-merit?utm_source=instagram&utm_medium=short_video&utm_campaign=v09,https://coffee-blog-eta.vercel.app/blog/ai-use-merit?utm_source=youtube&utm_medium=short_video&utm_campaign=v09,https://coffee-blog-eta.vercel.app/blog/ai-use-merit?utm_source=tiktok&utm_medium=short_video&utm_campaign=v09,,,,
v10,AIを使っても自分の言葉で書く,content/posts/ai-use-merit.md,brief-ready,https://coffee-blog-eta.vercel.app/blog/ai-use-merit?utm_source=instagram&utm_medium=short_video&utm_campaign=v10,https://coffee-blog-eta.vercel.app/blog/ai-use-merit?utm_source=youtube&utm_medium=short_video&utm_campaign=v10,https://coffee-blog-eta.vercel.app/blog/ai-use-merit?utm_source=tiktok&utm_medium=short_video&utm_campaign=v10,,,,
